Shipment_ID,Supplier_ID,Transport_Mode,Distance_KM,Weight_Tons,Order_Qty,Urgency
SHP_00001,SUP_050,Road,1497,4.41,208,Standard
SHP_00002,SUP_029,Ocean,6031,17.08,563,Low
SHP_00003,SUP_014,Rail,323,10.72,457,Critical
SHP_00004,SUP_013,Rail,106,2.49,755,Critical
SHP_00005,SUP_050,Road,1345,3.52,415,Low
SHP_00006,SUP_027,Road,1068,17.42,512,Standard
SHP_00007,SUP_048,Air,6210,17.64,305,Critical
SHP_00008,SUP_044,Ocean,4965,16.66,603,Low
SHP_00009,SUP_015,Rail,867,6.18,535,Low
SHP_00010,SUP_012,Rail,337,17.1,909,Low
SHP_00011,SUP_044,Air,6977,13.91,278,Standard
SHP_00012,SUP_010,Ocean,7152,6.09,304,Standard
SHP_00013,SUP_042,Ocean,1573,10.63,381,Critical
SHP_00014,SUP_035,Road,938,14.66,534,Standard
SHP_00015,SUP_039,Road,740,19.75,347,Standard
SHP_00016,SUP_013,Road,1268,16.83,280,Low
SHP_00017,SUP_044,Road,672,6.23,322,Standard
SHP_00018,SUP_034,Road,1752,2.74,902,Critical
SHP_00019,SUP_050,Road,472,1.79,345,Low
SHP_00020,SUP_007,Road,701,16.81,236,Standard
SHP_00021,SUP_003,Rail,238,10.22,534,Critical
SHP_00022,SUP_015,Air,5755,19.26,880,Critical
SHP_00023,SUP_006,Road,1188,6.86,360,Standard
SHP_00024,SUP_026,Road,1460,17.64,843,Standard
SHP_00025,SUP_005,Road,1702,18.34,821,Critical
SHP_00026,SUP_041,Rail,1713,15.73,723,Standard
SHP_00027,SUP_043,Road,788,10.18,753,Critical
SHP_00028,SUP_029,Road,1103,6.35,739,Standard
SHP_00029,SUP_011,Rail,1138,5.61,611,Low
SHP_00030,SUP_047,Air,5036,17.58,314,Standard
SHP_00031,SUP_012,Rail,160,5.69,315,Low
SHP_00032,SUP_015,Road,1045,18.18,179,Standard
SHP_00033,SUP_037,Air,5086,5.54,752,Standard
SHP_00034,SUP_022,Ocean,3028,9.82,542,Standard
SHP_00035,SUP_042,Ocean,3255,12.91,154,Standard
SHP_00036,SUP_043,Ocean,6442,1.83,716,Critical
SHP_00037,SUP_042,Road,448,7.72,750,Low
SHP_00038,SUP_033,Air,3773,6.95,973,Standard
SHP_00039,SUP_018,Rail,992,15.49,729,Standard
SHP_00040,SUP_002,Road,1472,8.62,208,Standard
SHP_00041,SUP_049,Air,903,17.9,818,Critical
SHP_00042,SUP_014,Road,1627,13.18,286,Low
SHP_00043,SUP_048,Air,6276,6.55,422,Low
SHP_00044,SUP_027,Ocean,1206,8.45,929,Critical
SHP_00045,SUP_014,Road,1042,19.65,171,Standard
SHP_00046,SUP_010,Rail,1859,11.82,468,Low
SHP_00047,SUP_044,Road,376,8.69,603,Critical
SHP_00048,SUP_024,Road,974,8.43,757,Low
SHP_00049,SUP_024,Road,790,18.73,947,Critical
SHP_00050,SUP_049,Road,847,4.02,934,Critical
SHP_00051,SUP_038,Ocean,512,2.34,909,Standard
SHP_00052,SUP_040,Rail,171,14.93,870,Standard
SHP_00053,SUP_034,Ocean,3841,3.61,147,Standard
SHP_00054,SUP_001,Ocean,6971,11.63,137,Critical
SHP_00055,SUP_023,Rail,1420,10.34,191,Standard
SHP_00056,SUP_041,Ocean,4345,6.33,455,Standard
SHP_00057,SUP_011,Air,1140,14.59,541,Standard
SHP_00058,SUP_033,Road,997,6.32,103,Critical
SHP_00059,SUP_008,Air,4817,16.41,116,Standard
SHP_00060,SUP_049,Road,154,8.04,515,Low
SHP_00061,SUP_036,Road,1982,15.23,114,Standard
SHP_00062,SUP_040,Road,245,9.97,645,Critical
SHP_00063,SUP_040,Ocean,5469,11.1,452,Critical
SHP_00064,SUP_021,Road,1710,5.06,884,Standard
SHP_00065,SUP_025,Road,438,4.07,893,Critical
SHP_00066,SUP_046,Road,1482,10.71,743,Critical
SHP_00067,SUP_001,Air,533,16.03,747,Critical
SHP_00068,SUP_007,Ocean,631,11.36,222,Low
SHP_00069,SUP_025,Air,6286,3.21,381,Standard
SHP_00070,SUP_044,Ocean,2082,8.57,106,Low
SHP_00071,SUP_028,Rail,899,5.8,310,Critical
SHP_00072,SUP_013,Road,374,19.3,261,Low
SHP_00073,SUP_026,Air,4939,1.13,347,Critical
SHP_00074,SUP_044,Ocean,7609,11.28,806,Critical
SHP_00075,SUP_004,Rail,1857,18,872,Low
SHP_00076,SUP_017,Rail,223,12.96,243,Critical
SHP_00077,SUP_037,Rail,1868,16.12,306,Standard
SHP_00078,SUP_041,Air,4952,5.35,685,Standard
SHP_00079,SUP_023,Road,635,13.56,620,Standard
SHP_00080,SUP_004,Air,5178,19.59,711,Low
SHP_00081,SUP_013,Ocean,6378,4.65,593,Standard
SHP_00082,SUP_043,Rail,114,7.11,284,Low
SHP_00083,SUP_045,Road,896,18.2,622,Standard
SHP_00084,SUP_013,Air,1058,13.28,753,Standard
SHP_00085,SUP_044,Road,1357,6.84,187,Standard
SHP_00086,SUP_005,Road,623,8.54,430,Critical
SHP_00087,SUP_015,Rail,133,11.34,829,Critical
SHP_00088,SUP_048,Rail,1950,5.36,200,Standard
SHP_00089,SUP_032,Ocean,4700,4.92,870,Standard
SHP_00090,SUP_022,Road,464,9.97,658,Standard
