Supplier_ID,Location,Eco_Rating,Unit_Cost
SUP_001,Mumbai,1,48.47
SUP_002,Shanghai,5,39.13
SUP_003,Hamburg,5,36.95
SUP_004,Mumbai,4,16.01
SUP_005,Mumbai,1,24.2
SUP_006,Mumbai,2,48.13
SUP_007,Mumbai,4,45.09
SUP_008,Shanghai,5,31.01
SUP_009,Hamburg,1,14.45
SUP_010,Mumbai,3,47.57
SUP_011,Vietnam,5,21.39
SUP_012,Hamburg,2,33.62
SUP_013,Hamburg,3,36.66
SUP_014,Mumbai,3,15.17
SUP_015,Houston,5,40.2
SUP_016,Hamburg,1,38.89
SUP_017,Mumbai,2,26.38
SUP_018,Vietnam,5,51.34
SUP_019,Mumbai,2,51.4
SUP_020,Shanghai,5,18.96
SUP_021,Hamburg,4,48.74
SUP_022,Mumbai,1,26.35
SUP_023,Mumbai,4,16.52
SUP_024,Mumbai,5,29.75
SUP_025,Hamburg,1,40.68
SUP_026,Hamburg,5,48.92
SUP_027,Houston,1,34.22
SUP_028,Mumbai,2,35.91
SUP_029,Houston,2,27.82
SUP_030,Vietnam,1,18.74
SUP_031,Vietnam,5,36.41
SUP_032,Houston,1,50.43
SUP_033,Shanghai,4,47.09
SUP_034,Houston,5,47.27
SUP_035,Houston,4,33.2
SUP_036,Mumbai,3,38.99
SUP_037,Houston,4,24.29
SUP_038,Shanghai,1,19.69
SUP_039,Shanghai,5,56.54
SUP_040,Vietnam,5,40.58
SUP_041,Shanghai,2,38.21
SUP_042,Hamburg,5,34.4
SUP_043,Mumbai,3,51.59
SUP_044,Shanghai,3,51.59
SUP_045,Hamburg,1,42.95
SUP_046,Shanghai,4,44.01
SUP_047,Vietnam,1,47.21
SUP_048,Mumbai,4,37.89
SUP_049,Vietnam,4,32.5
SUP_050,Houston,5,37.47
